,code,smiley,CLDR,keywords
505,U+1F468 U+200D U+1F468 U+200D U+1F467,👨‍👨‍👧,"family: man, man, girl",family | girl | man
506,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👨‍👧‍👦,"family: man, man, girl, boy",boy | family | girl | man
507,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👨‍👦‍👦,"family: man, man, boy, boy",boy | family | man
508,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👨‍👧‍👧,"family: man, man, girl, girl",family | girl | man
509,U+1F469 U+200D U+1F469 U+200D U+1F466,👩‍👩‍👦,"family: woman, woman, boy",boy | family | woman
510,U+1F469 U+200D U+1F469 U+200D U+1F467,👩‍👩‍👧,"family: woman, woman, girl",family | girl | woman
511,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👩‍👧‍👦,"family: woman, woman, girl, boy",boy | family | girl | woman
512,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👩‍👦‍👦,"family: woman, woman, boy, boy",boy | family | woman
513,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👩‍👧‍👧,"family: woman, woman, girl, girl",family | girl | woman
514,U+1F468 U+200D U+1F466,👨‍👦,"family: man, boy",boy | family | man
515,U+1F468 U+200D U+1F466 U+200D U+1F466,👨‍👦‍👦,"family: man, boy, boy",boy | family | man
516,U+1F468 U+200D U+1F467,👨‍👧,"family: man, girl",family | girl | man
517,U+1F468 U+200D U+1F467 U+200D U+1F466,👨‍👧‍👦,"family: man, girl, boy",boy | family | girl | man
518,U+1F468 U+200D U+1F467 U+200D U+1F467,👨‍👧‍👧,"family: man, girl, girl",family | girl | man
519,U+1F469 U+200D U+1F466,👩‍👦,"family: woman, boy",boy | family | woman
520,U+1F469 U+200D U+1F466 U+200D U+1F466,👩‍👦‍👦,"family: woman, boy, boy",boy | family | woman
521,U+1F469 U+200D U+1F467,👩‍👧,"family: woman, girl",family | girl | woman
522,U+1F469 U+200D U+1F467 U+200D U+1F466,👩‍👧‍👦,"family: woman, girl, boy",boy | family | girl | woman
523,U+1F469 U+200D U+1F467 U+200D U+1F467,👩‍👧‍👧,"family: woman, girl, girl",family | girl | woman
524,U+1F5E3,🗣,speaking head,face | head | silhouette | speak | speaking
525,U+1F464,👤,bust in silhouette,bust | bust in silhouette | silhouette
526,U+1F465,👥,busts in silhouette,bust | busts in silhouette | silhouette
527,U+1FAC2,🫂,people hugging,goodbye | hello | hug | people hugging | thanks
528,U+1F463,👣,footprints,clothing | footprint | footprints | print
529,U+1F9B0,🦰,red hair,ginger | red hair | redhead
530,U+1F9B1,🦱,curly hair,afro | curly | curly hair | ringlets
531,U+1F9B3,🦳,white hair,gray | hair | old | white
532,U+1F9B2,🦲,bald,bald | chemotherapy | hairless | no hair | shaven
533,U+1F435,🐵,monkey face,face | monkey
534,U+1F412,🐒,monkey,monkey
535,U+1F98D,🦍,gorilla,gorilla
536,U+1F9A7,🦧,orangutan,ape | orangutan
537,U+1F436,🐶,dog face,dog | face | pet
538,U+1F415,🐕,dog,dog | pet
539,U+1F9AE,🦮,guide dog,accessibility | blind | guide | guide dog
540,U+1F415 U+200D U+1F9BA,🐕‍🦺,service dog,accessibility | assistance | dog | service
541,U+1F429,🐩,poodle,dog | poodle
542,U+1F43A,🐺,wolf,face | wolf
543,U+1F98A,🦊,fox,face | fox
544,U+1F99D,🦝,raccoon,curious | raccoon | sly
545,U+1F431,🐱,cat face,cat | face | pet
546,U+1F408,🐈,cat,cat | pet
547,U+1F408 U+200D U+2B1B,🐈‍⬛,black cat,black | cat | unlucky
548,U+1F981,🦁,lion,face | Leo | lion | zodiac
549,U+1F42F,🐯,tiger face,face | tiger
550,U+1F405,🐅,tiger,tiger
551,U+1F406,🐆,leopard,leopard
552,U+1F434,🐴,horse face,face | horse
553,U+1FACE,🫎,⊛ moose,animal | antlers | elk | mammal | moose
554,U+1FACF,🫏,⊛ donkey,animal | ass | burro | donkey | mammal | mule | stubborn
555,U+1F40E,🐎,horse,equestrian | horse | racehorse | racing
556,U+1F984,🦄,unicorn,face | unicorn
557,U+1F993,🦓,zebra,stripe | zebra
558,U+1F98C,🦌,deer,deer
559,U+1F9AC,🦬,bison,bison | buffalo | herd | wisent
560,U+1F42E,🐮,cow face,cow | face
561,U+1F402,🐂,ox,bull | ox | Taurus | zodiac
562,U+1F403,🐃,water buffalo,buffalo | water
563,U+1F404,🐄,cow,cow
564,U+1F437,🐷,pig face,face | pig
565,U+1F416,🐖,pig,pig | sow
566,U+1F417,🐗,boar,boar | pig
567,U+1F43D,🐽,pig nose,face | nose | pig
568,U+1F40F,🐏,ram,Aries | male | ram | sheep | zodiac
569,U+1F411,🐑,ewe,ewe | female | sheep
570,U+1F410,🐐,goat,Capricorn | goat | zodiac
571,U+1F42A,🐪,camel,camel | dromedary | hump
572,U+1F42B,🐫,two-hump camel,bactrian | camel | hump | two-hump camel
573,U+1F999,🦙,llama,alpaca | guanaco | llama | vicuña | wool
574,U+1F992,🦒,giraffe,giraffe | spots
575,U+1F418,🐘,elephant,elephant
576,U+1F9A3,🦣,mammoth,extinction | large | mammoth | tusk | woolly
577,U+1F98F,🦏,rhinoceros,rhinoceros
578,U+1F99B,🦛,hippopotamus,hippo | hippopotamus
579,U+1F42D,🐭,mouse face,face | mouse
580,U+1F401,🐁,mouse,mouse
581,U+1F400,🐀,rat,rat
582,U+1F439,🐹,hamster,face | hamster | pet
583,U+1F430,🐰,rabbit face,bunny | face | pet | rabbit
584,U+1F407,🐇,rabbit,bunny | pet | rabbit
585,U+1F43F,🐿,chipmunk,chipmunk | squirrel
586,U+1F9AB,🦫,beaver,beaver | dam
