,code,smiley,CLDR,keywords
1120,U+1FAA2,🪢,knot,knot | rope | tangled | tie | twine | twist
1121,U+1F453,👓,glasses,clothing | eye | eyeglasses | eyewear | glasses
1122,U+1F576,🕶,sunglasses,dark | eye | eyewear | glasses | sunglasses
1123,U+1F97D,🥽,goggles,eye protection | goggles | swimming | welding
1124,U+1F97C,🥼,lab coat,doctor | experiment | lab coat | scientist
1125,U+1F9BA,🦺,safety vest,emergency | safety | vest
1126,U+1F454,👔,necktie,clothing | necktie | tie
1127,U+1F455,👕,t-shirt,clothing | shirt | t-shirt | tshirt
1128,U+1F456,👖,jeans,clothing | jeans | pants | trousers
1129,U+1F9E3,🧣,scarf,neck | scarf
1130,U+1F9E4,🧤,gloves,gloves | hand
1131,U+1F9E5,🧥,coat,coat | jacket
1132,U+1F9E6,🧦,socks,socks | stocking
1133,U+1F457,👗,dress,clothing | dress
1134,U+1F458,👘,kimono,clothing | kimono
1135,U+1F97B,🥻,sari,clothing | dress | sari
1136,U+1FA71,🩱,one-piece swimsuit,bathing suit | one-piece swimsuit
1137,U+1FA72,🩲,briefs,bathing suit | briefs | one-piece | swimsuit | underwear
1138,U+1FA73,🩳,shorts,bathing suit | pants | shorts | underwear
1139,U+1F459,👙,bikini,bikini | clothing | swim
1140,U+1F45A,👚,woman’s clothes,clothing | woman | woman’s clothes
1141,U+1FAAD,🪭,⊛ folding hand fan,cooling | dance | fan | flutter | folding hand fan | hot | shy
1142,U+1F45B,👛,purse,clothing | coin | purse
1143,U+1F45C,👜,handbag,bag | clothing | handbag | purse
1144,U+1F45D,👝,clutch bag,bag | clothing | clutch bag | pouch
1145,U+1F6CD,🛍,shopping bags,bag | hotel | shopping | shopping bags
1146,U+1F392,🎒,backpack,backpack | bag | rucksack | satchel | school
1147,U+1FA74,🩴,thong sandal,beach sandals | sandals | thong sandal | thong sandals | thongs | zōri
1148,U+1F45E,👞,man’s shoe,clothing | man | man’s shoe | shoe
1149,U+1F45F,👟,running shoe,athletic | clothing | running shoe | shoe | sneaker
1150,U+1F97E,🥾,hiking boot,backpacking | boot | camping | hiking
1151,U+1F97F,🥿,flat shoe,ballet flat | flat shoe | slip-on | slipper
1152,U+1F460,👠,high-heeled shoe,clothing | heel | high-heeled shoe | shoe | woman
1153,U+1F461,👡,woman’s sandal,clothing | sandal | shoe | woman | woman’s sandal
1154,U+1FA70,🩰,ballet shoes,ballet | ballet shoes | dance
1155,U+1F462,👢,woman’s boot,boot | clothing | shoe | woman | woman’s boot
1156,U+1FAAE,🪮,⊛ hair pick,Afro | comb | hair | pick
1157,U+1F451,👑,crown,clothing | crown | king | queen
1158,U+1F452,👒,woman’s hat,clothing | hat | woman | woman’s hat
1159,U+1F3A9,🎩,top hat,clothing | hat | top | tophat
1160,U+1F393,🎓,graduation cap,cap | celebration | clothing | graduation | hat
1161,U+1F9E2,🧢,billed cap,baseball cap | billed cap
1162,U+1FA96,🪖,military helmet,army | helmet | military | soldier | warrior
1163,U+26D1,⛑,rescue worker’s helmet,aid | cross | face | hat | helmet | rescue worker’s helmet
1164,U+1F4FF,📿,prayer beads,beads | clothing | necklace | prayer | religion
1165,U+1F484,💄,lipstick,cosmetics | lipstick | makeup
1166,U+1F48D,💍,ring,diamond | ring
1167,U+1F48E,💎,gem stone,diamond | gem | gem stone | jewel
1168,U+1F507,🔇,muted speaker,mute | muted speaker | quiet | silent | speaker
1169,U+1F508,🔈,speaker low volume,soft | speaker low volume
1170,U+1F509,🔉,speaker medium volume,medium | speaker medium volume
1171,U+1F50A,🔊,speaker high volume,loud | speaker high volume
1172,U+1F4E2,📢,loudspeaker,loud | loudspeaker | public address
1173,U+1F4E3,📣,megaphone,cheering | megaphone
1174,U+1F4EF,📯,postal horn,horn | post | postal
1175,U+1F514,🔔,bell,bell
1176,U+1F515,🔕,bell with slash,bell | bell with slash | forbidden | mute | quiet | silent
1177,U+1F3BC,🎼,musical score,music | musical score | score
1178,U+1F3B5,🎵,musical note,music | musical note | note
1179,U+1F3B6,🎶,musical notes,music | musical notes | note | notes
1180,U+1F399,🎙,studio microphone,mic | microphone | music | studio
1181,U+1F39A,🎚,level slider,level | music | slider
1182,U+1F39B,🎛,control knobs,control | knobs | music
1183,U+1F3A4,🎤,microphone,karaoke | mic | microphone
1184,U+1F3A7,🎧,headphone,earbud | headphone
1185,U+1F4FB,📻,radio,radio | video
1186,U+1F3B7,🎷,saxophone,instrument | music | sax | saxophone
1187,U+1FA97,🪗,accordion,accordion | concertina | squeeze box
1188,U+1F3B8,🎸,guitar,guitar | instrument | music
1189,U+1F3B9,🎹,musical keyboard,instrument | keyboard | music | musical keyboard | piano
1190,U+1F3BA,🎺,trumpet,instrument | music | trumpet
1191,U+1F3BB,🎻,violin,instrument | music | violin
1192,U+1FA95,🪕,banjo,banjo | music | stringed
1193,U+1F941,🥁,drum,drum | drumsticks | music
1194,U+1FA98,🪘,long drum,beat | conga | drum | long drum | rhythm
1195,U+1FA87,🪇,⊛ maracas,instrument | maracas | music | percussion | rattle | shake
1196,U+1FA88,🪈,⊛ flute,fife | flute | music | pipe | recorder | woodwind
1197,U+1F4F1,📱,mobile phone,cell | mobile | phone | telephone
1198,U+1F4F2,📲,mobile phone with arrow,arrow | cell | mobile | mobile phone with arrow | phone | receive
1199,U+260E,☎,telephone,phone | telephone
1200,U+1F4DE,📞,telephone receiver,phone | receiver | telephone
1201,U+1F4DF,📟,pager,pager
1202,U+1F4E0,📠,fax machine,fax | fax machine
1203,U+1F50B,🔋,battery,battery
1204,U+1FAAB,🪫,low battery,electronic | low battery | low energy
1205,U+1F50C,🔌,electric plug,electric | electricity | plug
1206,U+1F4BB,💻,laptop,computer | laptop | pc | personal
1207,U+1F5A5,🖥,desktop computer,computer | desktop
1208,U+1F5A8,🖨,printer,computer | printer
1209,U+2328,⌨,keyboard,computer | keyboard
1210,U+1F5B1,🖱,computer mouse,computer | computer mouse
1211,U+1F5B2,🖲,trackball,computer | trackball
1212,U+1F4BD,💽,computer disk,computer | disk | minidisk | optical
1213,U+1F4BE,💾,floppy disk,computer | disk | floppy
1214,U+1F4BF,💿,optical disk,CD | computer | disk | optical
1215,U+1F4C0,📀,dvd,Blu-ray | computer | disk | dvd | DVD | optical
1216,U+1F9EE,🧮,abacus,abacus | calculation
1217,U+1F3A5,🎥,movie camera,camera | cinema | movie
1218,U+1F39E,🎞,film frames,cinema | film | frames | movie
1219,U+1F4FD,📽,film projector,cinema | film | movie | projector | video
1220,U+1F3AC,🎬,clapper board,clapper | clapper board | movie
1221,U+1F4FA,📺,television,television | tv | video
1222,U+1F4F7,📷,camera,camera | video
1223,U+1F4F8,📸,camera with flash,camera | camera with flash | flash | video
1224,U+1F4F9,📹,video camera,camera | video
1225,U+1F4FC,📼,videocassette,tape | vhs | video | videocassette
1226,U+1F50D,🔍,magnifying glass tilted left,glass | magnifying | magnifying glass tilted left | search | tool
1227,U+1F50E,🔎,magnifying glass tilted right,glass | magnifying | magnifying glass tilted right | search | tool
1228,U+1F56F,🕯,candle,candle | light
1229,U+1F4A1,💡,light bulb,bulb | comic | electric | idea | light
1230,U+1F526,🔦,flashlight,electric | flashlight | light | tool | torch
1231,U+1F3EE,🏮,red paper lantern,bar | lantern | light | red | red paper lantern
1232,U+1FA94,🪔,diya lamp,diya | lamp | oil
1233,U+1F4D4,📔,notebook with decorative cover,book | cover | decorated | notebook | notebook with decorative cover
1234,U+1F4D5,📕,closed book,book | closed
1235,U+1F4D6,📖,open book,book | open
1236,U+1F4D7,📗,green book,book | green
1237,U+1F4D8,📘,blue book,blue | book
1238,U+1F4D9,📙,orange book,book | orange
1239,U+1F4DA,📚,books,book | books
1240,U+1F4D3,📓,notebook,notebook
1241,U+1F4D2,📒,ledger,ledger | notebook
1242,U+1F4C3,📃,page with curl,curl | document | page | page with curl
1243,U+1F4DC,📜,scroll,paper | scroll
1244,U+1F4C4,📄,page facing up,document | page | page facing up
1245,U+1F4F0,📰,newspaper,news | newspaper | paper
1246,U+1F5DE,🗞,rolled-up newspaper,news | newspaper | paper | rolled | rolled-up newspaper
1247,U+1F4D1,📑,bookmark tabs,bookmark | mark | marker | tabs
1248,U+1F516,🔖,bookmark,bookmark | mark
1249,U+1F3F7,🏷,label,label
1250,U+1F4B0,💰,money bag,bag | dollar | money | moneybag
1251,U+1FA99,🪙,coin,coin | gold | metal | money | silver | treasure
1252,U+1F4B4,💴,yen banknote,banknote | bill | currency | money | note | yen
1253,U+1F4B5,💵,dollar banknote,banknote | bill | currency | dollar | money | note
1254,U+1F4B6,💶,euro banknote,banknote | bill | currency | euro | money | note
1255,U+1F4B7,💷,pound banknote,banknote | bill | currency | money | note | pound
1256,U+1F4B8,💸,money with wings,banknote | bill | fly | money | money with wings | wings
1257,U+1F4B3,💳,credit card,card | credit | money
1258,U+1F9FE,🧾,receipt,accounting | bookkeeping | evidence | proof | receipt
1259,U+1F4B9,💹,chart increasing with yen,chart | chart increasing with yen | graph | growth | money | yen
1260,U+2709,✉,envelope,email | envelope | letter
1261,U+1F4E7,📧,e-mail,e-mail | email | letter | mail
1262,U+1F4E8,📨,incoming envelope,e-mail | email | envelope | incoming | letter | receive
1263,U+1F4E9,📩,envelope with arrow,arrow | e-mail | email | envelope | envelope with arrow | outgoing
1264,U+1F4E4,📤,outbox tray,box | letter | mail | outbox | sent | tray
1265,U+1F4E5,📥,inbox tray,box | inbox | letter | mail | receive | tray
1266,U+1F4E6,📦,package,box | package | parcel
1267,U+1F4EB,📫,closed mailbox with raised flag,closed | closed mailbox with raised flag | mail | mailbox | postbox
1268,U+1F4EA,📪,closed mailbox with lowered flag,closed | closed mailbox with lowered flag | lowered | mail | mailbox | postbox
1269,U+1F4EC,📬,open mailbox with raised flag,mail | mailbox | open | open mailbox with raised flag | postbox
1270,U+1F4ED,📭,open mailbox with lowered flag,lowered | mail | mailbox | open | open mailbox with lowered flag | postbox
1271,U+1F4EE,📮,postbox,mail | mailbox | postbox
1272,U+1F5F3,🗳,ballot box with ballot,ballot | ballot box with ballot | box
1273,U+270F,✏,pencil,pencil
1274,U+2712,✒,black nib,black nib | nib | pen
1275,U+1F58B,🖋,fountain pen,fountain | pen
1276,U+1F58A,🖊,pen,ballpoint | pen
1277,U+1F58C,🖌,paintbrush,paintbrush | painting
1278,U+1F58D,🖍,crayon,crayon
1279,U+1F4DD,📝,memo,memo | pencil
1280,U+1F4BC,💼,briefcase,briefcase
1281,U+1F4C1,📁,file folder,file | folder
1282,U+1F4C2,📂,open file folder,file | folder | open
1283,U+1F5C2,🗂,card index dividers,card | dividers | index
1284,U+1F4C5,📅,calendar,calendar | date
1285,U+1F4C6,📆,tear-off calendar,calendar | tear-off calendar
1286,U+1F5D2,🗒,spiral notepad,note | pad | spiral | spiral notepad
1287,U+1F5D3,🗓,spiral calendar,calendar | pad | spiral
1288,U+1F4C7,📇,card index,card | index | rolodex
1289,U+1F4C8,📈,chart increasing,chart | chart increasing | graph | growth | trend | upward
1290,U+1F4C9,📉,chart decreasing,chart | chart decreasing | down | graph | trend
1291,U+1F4CA,📊,bar chart,bar | chart | graph
1292,U+1F4CB,📋,clipboard,clipboard
1293,U+1F4CC,📌,pushpin,pin | pushpin
1294,U+1F4CD,📍,round pushpin,pin | pushpin | round pushpin
1295,U+1F4CE,📎,paperclip,paperclip
1296,U+1F587,🖇,linked paperclips,link | linked paperclips | paperclip
1297,U+1F4CF,📏,straight ruler,ruler | straight edge | straight ruler
1298,U+1F4D0,📐,triangular ruler,ruler | set | triangle | triangular ruler
1299,U+2702,✂,scissors,cutting | scissors | tool
1300,U+1F5C3,🗃,card file box,box | card | file
1301,U+1F5C4,🗄,file cabinet,cabinet | file | filing
1302,U+1F5D1,🗑,wastebasket,wastebasket
1303,U+1F512,🔒,locked,closed | locked
1304,U+1F513,🔓,unlocked,lock | open | unlock | unlocked
1305,U+1F50F,🔏,locked with pen,ink | lock | locked with pen | nib | pen | privacy
1306,U+1F510,🔐,locked with key,closed | key | lock | locked with key | secure
1307,U+1F511,🔑,key,key | lock | password
1308,U+1F5DD,🗝,old key,clue | key | lock | old
1309,U+1F528,🔨,hammer,hammer | tool
1310,U+1FA93,🪓,axe,axe | chop | hatchet | split | wood
1311,U+26CF,⛏,pick,mining | pick | tool
1312,U+2692,⚒,hammer and pick,hammer | hammer and pick | pick | tool
1313,U+1F6E0,🛠,hammer and wrench,hammer | hammer and wrench | spanner | tool | wrench
1314,U+1F5E1,🗡,dagger,dagger | knife | weapon
1315,U+2694,⚔,crossed swords,crossed | swords | weapon
1316,U+1F4A3,💣,bomb,bomb | comic
1317,U+1FA83,🪃,boomerang,australia | boomerang | rebound | repercussion
1318,U+1F3F9,🏹,bow and arrow,archer | arrow | bow | bow and arrow | Sagittarius | zodiac
1319,U+1F6E1,🛡,shield,shield | weapon
1320,U+1FA9A,🪚,carpentry saw,carpenter | carpentry saw | lumber | saw | tool
1321,U+1F527,🔧,wrench,spanner | tool | wrench
1322,U+1FA9B,🪛,screwdriver,screw | screwdriver | tool
1323,U+1F529,🔩,nut and bolt,bolt | nut | nut and bolt | tool
1324,U+2699,⚙,gear,cog | cogwheel | gear | tool
1325,U+1F5DC,🗜,clamp,clamp | compress | tool | vice
1326,U+2696,⚖,balance scale,balance | justice | Libra | scale | zodiac
1327,U+1F9AF,🦯,white cane,accessibility | blind | white cane
1328,U+1F517,🔗,link,link
1329,U+26D3,⛓,chains,chain | chains
1330,U+1FA9D,🪝,hook,catch | crook | curve | ensnare | hook | selling point
1331,U+1F9F0,🧰,toolbox,chest | mechanic | tool | toolbox
1332,U+1F9F2,🧲,magnet,attraction | horseshoe | magnet | magnetic
1333,U+1FA9C,🪜,ladder,climb | ladder | rung | step
1334,U+2697,⚗,alembic,alembic | chemistry | tool
1335,U+1F9EA,🧪,test tube,chemist | chemistry | experiment | lab | science | test tube
1336,U+1F9EB,🧫,petri dish,bacteria | biologist | biology | culture | lab | petri dish
1337,U+1F9EC,🧬,dna,biologist | dna | evolution | gene | genetics | life
1338,U+1F52C,🔬,microscope,microscope | science | tool
1339,U+1F52D,🔭,telescope,science | telescope | tool
1340,U+1F4E1,📡,satellite antenna,antenna | dish | satellite
1341,U+1F489,💉,syringe,medicine | needle | shot | sick | syringe
1342,U+1FA78,🩸,drop of blood,bleed | blood donation | drop of blood | injury | medicine | menstruation
1343,U+1F48A,💊,pill,doctor | medicine | pill | sick
1344,U+1FA79,🩹,adhesive bandage,adhesive bandage | bandage
1345,U+1FA7C,🩼,crutch,cane | crutch | disability | hurt | mobility aid | stick
1346,U+1FA7A,🩺,stethoscope,doctor | heart | medicine | stethoscope
1347,U+1FA7B,🩻,x-ray,bones | doctor | medical | skeleton | x-ray
1348,U+1F6AA,🚪,door,door
1349,U+1F6D7,🛗,elevator,accessibility | elevator | hoist | lift
1350,U+1FA9E,🪞,mirror,mirror | reflection | reflector | speculum
1351,U+1FA9F,🪟,window,frame | fresh air | opening | transparent | view | window
1352,U+1F6CF,🛏,bed,bed | hotel | sleep
1353,U+1F6CB,🛋,couch and lamp,couch | couch and lamp | hotel | lamp
1354,U+1FA91,🪑,chair,chair | seat | sit
1355,U+1F6BD,🚽,toilet,toilet
1356,U+1FAA0,🪠,plunger,force cup | plumber | plunger | suction | toilet
1357,U+1F6BF,🚿,shower,shower | water
1358,U+1F6C1,🛁,bathtub,bath | bathtub
1359,U+1FAA4,🪤,mouse trap,bait | mouse trap | mousetrap | snare | trap
1360,U+1FA92,🪒,razor,razor | sharp | shave
1361,U+1F9F4,🧴,lotion bottle,lotion | lotion bottle | moisturizer | shampoo | sunscreen
1362,U+1F9F7,🧷,safety pin,diaper | punk rock | safety pin
1363,U+1F9F9,🧹,broom,broom | cleaning | sweeping | witch
1364,U+1F9FA,🧺,basket,basket | farming | laundry | picnic
1365,U+1F9FB,🧻,roll of paper,paper towels | roll of paper | toilet paper
1366,U+1FAA3,🪣,bucket,bucket | cask | pail | vat
1367,U+1F9FC,🧼,soap,bar | bathing | cleaning | lather | soap | soapdish
1368,U+1FAE7,🫧,bubbles,bubbles | burp | clean | soap | underwater
1369,U+1FAA5,🪥,toothbrush,bathroom | brush | clean | dental | hygiene | teeth | toothbrush
1370,U+1F9FD,🧽,sponge,absorbing | cleaning | porous | sponge
1371,U+1F9EF,🧯,fire extinguisher,extinguish | fire | fire extinguisher | quench
1372,U+1F6D2,🛒,shopping cart,cart | shopping | trolley
1373,U+1F6AC,🚬,cigarette,cigarette | smoking
1374,U+26B0,⚰,coffin,coffin | death
1375,U+1FAA6,🪦,headstone,cemetery | grave | graveyard | headstone | tombstone
1376,U+26B1,⚱,funeral urn,ashes | death | funeral | urn
1377,U+1F9FF,🧿,nazar amulet,bead | charm | evil-eye | nazar | nazar amulet | talisman
1378,U+1FAAC,🪬,hamsa,amulet | Fatima | hamsa | hand | Mary | Miriam | protection
1379,U+1F5FF,🗿,moai,face | moai | moyai | statue
1380,U+1FAA7,🪧,placard,demonstration | picket | placard | protest | sign
1381,U+1FAAA,🪪,identification card,credentials | ID | identification card | license | security
1382,U+1F3E7,🏧,ATM sign,ATM | ATM sign | automated | bank | teller
1383,U+1F6AE,🚮,litter in bin sign,litter | litter bin | litter in bin sign
1384,U+1F6B0,🚰,potable water,drinking | potable | water
1385,U+267F,♿,wheelchair symbol,access | wheelchair symbol
1386,U+1F6B9,🚹,men’s room,bathroom | lavatory | man | men’s room | restroom | toilet | WC
1387,U+1F6BA,🚺,women’s room,bathroom | lavatory | restroom | toilet | WC | woman | women’s room
1388,U+1F6BB,🚻,restroom,bathroom | lavatory | restroom | toilet | WC
1389,U+1F6BC,🚼,baby symbol,baby | baby symbol | changing
1390,U+1F6BE,🚾,water closet,bathroom | closet | lavatory | restroom | toilet | water | WC
1391,U+1F6C2,🛂,passport control,control | passport
1392,U+1F6C3,🛃,customs,customs
1393,U+1F6C4,🛄,baggage claim,baggage | claim
1394,U+1F6C5,🛅,left luggage,baggage | left luggage | locker | luggage
1395,U+26A0,⚠,warning,warning
1396,U+1F6B8,🚸,children crossing,child | children crossing | crossing | pedestrian | traffic
1397,U+26D4,⛔,no entry,entry | forbidden | no | not | prohibited | traffic
1398,U+1F6AB,🚫,prohibited,entry | forbidden | no | not | prohibited
1399,U+1F6B3,🚳,no bicycles,bicycle | bike | forbidden | no | no bicycles | prohibited
1400,U+1F6AD,🚭,no smoking,forbidden | no | not | prohibited | smoking
1401,U+1F6AF,🚯,no littering,forbidden | litter | no | no littering | not | prohibited
1402,U+1F6B1,🚱,non-potable water,non-drinking | non-potable | water
1403,U+1F6B7,🚷,no pedestrians,forbidden | no | no pedestrians | not | pedestrian | prohibited
1404,U+1F4F5,📵,no mobile phones,cell | forbidden | mobile | no | no mobile phones | phone
1405,U+1F51E,🔞,no one under eighteen,18 | age restriction | eighteen | no one under eighteen | prohibited | underage
1406,U+2622,☢,radioactive,radioactive | sign
1407,U+2623,☣,biohazard,biohazard | sign
1408,U+2B06,⬆,up arrow,arrow | cardinal | direction | north | up arrow
1409,U+2197,↗,up-right arrow,arrow | direction | intercardinal | northeast | up-right arrow
1410,U+27A1,➡,right arrow,arrow | cardinal | direction | east | right arrow
1411,U+2198,↘,down-right arrow,arrow | direction | down-right arrow | intercardinal | southeast
1412,U+2B07,⬇,down arrow,arrow | cardinal | direction | down | south
1413,U+2199,↙,down-left arrow,arrow | direction | down-left arrow | intercardinal | southwest
1414,U+2B05,⬅,left arrow,arrow | cardinal | direction | left arrow | west
1415,U+2196,↖,up-left arrow,arrow | direction | intercardinal | northwest | up-left arrow
1416,U+2195,↕,up-down arrow,arrow | up-down arrow
1417,U+2194,↔,left-right arrow,arrow | left-right arrow
1418,U+21A9,↩,right arrow curving left,arrow | right arrow curving left
1419,U+21AA,↪,left arrow curving right,arrow | left arrow curving right
1420,U+2934,⤴,right arrow curving up,arrow | right arrow curving up
1421,U+2935,⤵,right arrow curving down,arrow | down | right arrow curving down
1422,U+1F503,🔃,clockwise vertical arrows,arrow | clockwise | clockwise vertical arrows | reload
1423,U+1F504,🔄,counterclockwise arrows button,anticlockwise | arrow | counterclockwise | counterclockwise arrows button | withershins
1424,U+1F519,🔙,BACK arrow,arrow | BACK
1425,U+1F51A,🔚,END arrow,arrow | END
1426,U+1F51B,🔛,ON! arrow,arrow | mark | ON | ON!
1427,U+1F51C,🔜,SOON arrow,arrow | SOON
1428,U+1F51D,🔝,TOP arrow,arrow | TOP | up
1429,U+1F6D0,🛐,place of worship,place of worship | religion | worship
1430,U+269B,⚛,atom symbol,atheist | atom | atom symbol
1431,U+1F549,🕉,om,Hindu | om | religion
1432,U+2721,✡,star of David,David | Jew | Jewish | religion | star | star of David
1433,U+2638,☸,wheel of dharma,Buddhist | dharma | religion | wheel | wheel of dharma
1434,U+262F,☯,yin yang,religion | tao | taoist | yang | yin
1435,U+271D,✝,latin cross,Christian | cross | latin cross | religion
1436,U+2626,☦,orthodox cross,Christian | cross | orthodox cross | religion
1437,U+262A,☪,star and crescent,islam | Muslim | religion | star and crescent
1438,U+262E,☮,peace symbol,peace | peace symbol
1439,U+1F54E,🕎,menorah,candelabrum | candlestick | menorah | religion
1440,U+1F52F,🔯,dotted six-pointed star,dotted six-pointed star | fortune | star
1441,U+1FAAF,🪯,⊛ khanda,khanda | religion | Sikh
1442,U+2648,♈,Aries,Aries | ram | zodiac
1443,U+2649,♉,Taurus,bull | ox | Taurus | zodiac
1444,U+264A,♊,Gemini,Gemini | twins | zodiac
1445,U+264B,♋,Cancer,Cancer | crab | zodiac
1446,U+264C,♌,Leo,Leo | lion | zodiac
1447,U+264D,♍,Virgo,Virgo | zodiac
1448,U+264E,♎,Libra,balance | justice | Libra | scales | zodiac
1449,U+264F,♏,Scorpio,Scorpio | scorpion | scorpius | zodiac
1450,U+2650,♐,Sagittarius,archer | Sagittarius | zodiac
1451,U+2651,♑,Capricorn,Capricorn | goat | zodiac
1452,U+2652,♒,Aquarius,Aquarius | bearer | water | zodiac
1453,U+2653,♓,Pisces,fish | Pisces | zodiac
1454,U+26CE,⛎,Ophiuchus,bearer | Ophiuchus | serpent | snake | zodiac
1455,U+1F500,🔀,shuffle tracks button,arrow | crossed | shuffle tracks button
1456,U+1F501,🔁,repeat button,arrow | clockwise | repeat | repeat button
1457,U+1F502,🔂,repeat single button,arrow | clockwise | once | repeat single button
1458,U+25B6,▶,play button,arrow | play | play button | right | triangle
1459,U+23E9,⏩,fast-forward button,arrow | double | fast | fast-forward button | forward
1460,U+23ED,⏭,next track button,arrow | next scene | next track | next track button | triangle
1461,U+23EF,⏯,play or pause button,arrow | pause | play | play or pause button | right | triangle
1462,U+25C0,◀,reverse button,arrow | left | reverse | reverse button | triangle
1463,U+23EA,⏪,fast reverse button,arrow | double | fast reverse button | rewind
1464,U+23EE,⏮,last track button,arrow | last track button | previous scene | previous track | triangle
1465,U+1F53C,🔼,upwards button,arrow | button | upwards button
1466,U+23EB,⏫,fast up button,arrow | double | fast up button
1467,U+1F53D,🔽,downwards button,arrow | button | down | downwards button
1468,U+23EC,⏬,fast down button,arrow | double | down | fast down button
1469,U+23F8,⏸,pause button,bar | double | pause | pause button | vertical
1470,U+23F9,⏹,stop button,square | stop | stop button
1471,U+23FA,⏺,record button,circle | record | record button
1472,U+23CF,⏏,eject button,eject | eject button
1473,U+1F3A6,🎦,cinema,camera | cinema | film | movie
1474,U+1F505,🔅,dim button,brightness | dim | dim button | low
1475,U+1F506,🔆,bright button,bright | bright button | brightness
1476,U+1F4F6,📶,antenna bars,antenna | antenna bars | bar | cell | mobile | phone
1477,U+1F6DC,🛜,⊛ wireless,computer | internet | network | wireless
1478,U+1F4F3,📳,vibration mode,cell | mobile | mode | phone | telephone | vibration
1479,U+1F4F4,📴,mobile phone off,cell | mobile | off | phone | telephone
1480,U+2640,♀,female sign,female sign | woman
1481,U+2642,♂,male sign,male sign | man
1482,U+26A7,⚧,transgender symbol,transgender | transgender symbol
1483,U+2716,✖,multiply,× | cancel | multiplication | multiply | sign | x
1484,U+2795,➕,plus,+ | math | plus | sign
1485,U+2796,➖,minus,- | − | math | minus | sign
1486,U+2797,➗,divide,÷ | divide | division | math | sign
1487,U+1F7F0,🟰,heavy equals sign,equality | heavy equals sign | math
1488,U+267E,♾,infinity,forever | infinity | unbounded | universal
1489,U+203C,‼,double exclamation mark,! | !! | bangbang | double exclamation mark | exclamation | mark
1490,U+2049,⁉,exclamation question mark,! | !? | ? | exclamation | interrobang | mark | punctuation | question
1491,U+2753,❓,red question mark,? | mark | punctuation | question | red question mark
1492,U+2754,❔,white question mark,? | mark | outlined | punctuation | question | white question mark
1493,U+2755,❕,white exclamation mark,! | exclamation | mark | outlined | punctuation | white exclamation mark
1494,U+2757,❗,red exclamation mark,! | exclamation | mark | punctuation | red exclamation mark
1495,U+3030,〰,wavy dash,dash | punctuation | wavy
1496,U+1F4B1,💱,currency exchange,bank | currency | exchange | money
1497,U+1F4B2,💲,heavy dollar sign,currency | dollar | heavy dollar sign | money
1498,U+2695,⚕,medical symbol,aesculapius | medical symbol | medicine | staff
1499,U+267B,♻,recycling symbol,recycle | recycling symbol
1500,U+269C,⚜,fleur-de-lis,fleur-de-lis
1501,U+1F531,🔱,trident emblem,anchor | emblem | ship | tool | trident
1502,U+1F4DB,📛,name badge,badge | name
1503,U+1F530,🔰,Japanese symbol for beginner,beginner | chevron | Japanese | Japanese symbol for beginner | leaf
1504,U+2B55,⭕,hollow red circle,circle | hollow red circle | large | o | red
1505,U+2705,✅,check mark button,✓ | button | check | mark
1506,U+2611,☑,check box with check,✓ | box | check | check box with check
1507,U+2714,✔,check mark,✓ | check | mark
1508,U+274C,❌,cross mark,× | cancel | cross | mark | multiplication | multiply | x
1509,U+274E,❎,cross mark button,× | cross mark button | mark | square | x
1510,U+27B0,➰,curly loop,curl | curly loop | loop
1511,U+27BF,➿,double curly loop,curl | double | double curly loop | loop
1512,U+303D,〽,part alternation mark,mark | part | part alternation mark
1513,U+2733,✳,eight-spoked asterisk,* | asterisk | eight-spoked asterisk
1514,U+2734,✴,eight-pointed star,* | eight-pointed star | star
1515,U+2747,❇,sparkle,* | sparkle
1516,U+00A9,©,copyright,C | copyright
1517,U+00AE,®,registered,R | registered
1518,U+2122,™,trade mark,mark | TM | trade mark | trademark
1519,U+0023 U+FE0F U+20E3,#️⃣,keycap: #,keycap
1520,U+002A U+FE0F U+20E3,*️⃣,keycap: *,keycap
1521,U+0030 U+FE0F U+20E3,0️⃣,keycap: 0,keycap
1522,U+0031 U+FE0F U+20E3,1️⃣,keycap: 1,keycap
1523,U+0032 U+FE0F U+20E3,2️⃣,keycap: 2,keycap
1524,U+0033 U+FE0F U+20E3,3️⃣,keycap: 3,keycap
1525,U+0034 U+FE0F U+20E3,4️⃣,keycap: 4,keycap
1526,U+0035 U+FE0F U+20E3,5️⃣,keycap: 5,keycap
1527,U+0036 U+FE0F U+20E3,6️⃣,keycap: 6,keycap
1528,U+0037 U+FE0F U+20E3,7️⃣,keycap: 7,keycap
1529,U+0038 U+FE0F U+20E3,8️⃣,keycap: 8,keycap
1530,U+0039 U+FE0F U+20E3,9️⃣,keycap: 9,keycap
1531,U+1F51F,🔟,keycap: 10,keycap
1532,U+1F520,🔠,input latin uppercase,ABCD | input | latin | letters | uppercase
1533,U+1F521,🔡,input latin lowercase,abcd | input | latin | letters | lowercase
1534,U+1F522,🔢,input numbers,1234 | input | numbers
1535,U+1F523,🔣,input symbols,〒♪&% | input | input symbols
1536,U+1F524,🔤,input latin letters,abc | alphabet | input | latin | letters
1537,U+1F170,🅰,A button (blood type),A | A button (blood type) | blood type
1538,U+1F18E,🆎,AB button (blood type),AB | AB button (blood type) | blood type
1539,U+1F171,🅱,B button (blood type),B | B button (blood type) | blood type
